queue,n,exposure,add,cancel,exec,move,lambda_move,lambda_add,lambda_add_lo,lambda_add_hi,lambda_cancel,lambda_cancel_lo,lambda_cancel_hi,lambda_exec,lambda_exec_lo,lambda_exec_hi,lambda_total
2,6,113.45125823589478,901.0,1181.0,159.0,0.0,0.0,7.9417365131957,7.431572302593981,8.477698558389184,10.409756739272055,9.824453421092377,11.020821807429712,1.401482914093359,1.1921078755375898,1.6370461890857197,19.752976166561115
2,7,100.40357503891573,661.0,727.0,134.0,0.0,0.0,6.583430916118285,6.09105022776255,7.105015817559132,7.240778027258689,6.723934366355206,7.786808457461734,1.3346138317093044,1.118219673721487,1.580666750358713,15.158822775086279
2,8,58.040505875957024,362.0,472.0,57.0,0.0,0.0,6.237023515502414,5.61099760917661,6.913796970759058,8.132251655572208,7.4150560339140865,8.90008620924879,0.9820727634907116,0.7438123205746937,1.272389175256221,15.351347934565334
2,9,48.45357905999845,295.0,347.0,60.0,0.0,0.0,6.08830153980393,5.413293407299537,6.824210638653172,7.161493675633775,6.427721231379311,7.956076841923041,1.238298618265206,0.9449522994640209,1.593935781524202,14.488093833702912
2,10,23.766507405969605,144.0,231.0,24.0,0.0,0.0,6.058946631924154,5.109771457936732,7.1332951893873195,9.719560222044997,8.506478680442196,11.057108913182837,1.0098244386540256,0.6470135721676987,1.5025387190371795,16.788331292623177
2,11,11.108639666053932,79.0,132.0,39.0,0.0,0.0,7.111581829538521,5.630306305705606,8.863152836394983,11.882643056950439,9.942109181537138,14.091298585406562,3.5107809031899024,2.4965084225553844,4.799353068292603,22.50500578967886
2,12,11.708152763996623,73.0,91.0,24.0,0.0,0.0,6.234971602393166,4.887222440285854,7.839540705791906,7.772361860517509,6.257820936718025,9.542738053445843,2.049853677499123,1.3133799297505389,3.050019786516984,16.0571871404098
2,13,2.2851107709575444,37.0,67.0,22.0,0.0,0.0,16.191775239191426,11.400504036042655,22.318229291160417,29.320241649346638,22.72278455168388,37.23567045817282,9.627542034113821,6.033529335845824,14.576214339564753,55.13955892265189
2,14,4.076488991006045,44.0,36.0,18.0,0.0,0.0,10.793602067140908,7.8426477855528995,14.489906978929495,8.83112896402438,6.185214156825829,12.226004927082187,4.41556448201219,2.616943355896754,6.978495546116343,24.04029551317748
2,15,6.5597667659531,45.0,43.0,16.0,0.0,0.0,6.859999997798967,5.003731071445405,9.179219726146785,6.5551111090079015,4.743966412568894,8.82969164559436,2.4391111103285215,1.3941627469300342,3.9609636324906377,15.85422221713539
