session,decile,orders,fill_prob,median_ttf_s,median_life_s,median_own_size,adverse_1s,adverse_10s,adverse_60s,adverse_10s_lo,adverse_10s_hi,half_spread_ticks,edge_ticks
INTC_2024-12-02,9,211470,0.0954177897574124,2.177342006001709,0.010597563996270765,200.0,0.5351620576865893,0.625854891465953,0.674422638517197,0.5581144497833573,0.6876833577094775,0.6489620277107864,0.0022048318681053974
AAPL_2024-02-01,0,86803,0.19679043351036254,0.03072297450125916,0.014979182000388391,100.0,0.5784744175155134,0.6269172228076337,0.6252780704835499,0.5006412591789217,0.7508072587498075,0.7960899968895084,0.033291583549722746
AAPL_2024-02-01,1,7619,0.12324452027825174,0.11415296099585248,0.007441233996360097,100.0,0.5804046858359957,0.7907348242811502,1.6922257720979765,0.32740504275942306,1.3114706456289027,0.7031106444415277,-0.010799200009109526
AAPL_2024-02-01,2,16838,0.09436987765767905,0.2518788679954014,0.0068696565031132195,100.0,0.5676526117054751,0.5409062303335431,0.7164883574575205,0.14285480400411638,0.9641756612803257,0.705101556004276,0.015495092795509834
AAPL_2024-02-01,3,16929,0.10591293047433398,0.34328492599888705,0.019395220006117597,100.0,0.534021193530396,0.435861684327942,0.007808142777467931,0.1176518419537801,0.7652705346870565,0.8157304034497017,0.04023300923771724
AAPL_2024-02-01,4,11011,0.12142403051493961,0.35637312100152485,0.03282727199984947,100.0,0.6297681376215407,0.7643979057591623,0.9076290201944652,0.3795128791026174,1.173009296813859,0.8166379075469985,0.006343191571186718
AAPL_2024-02-01,5,75117,0.10765871906492538,0.24998814200080233,0.03447001500171609,100.0,0.6440583652776061,0.6557437863237294,0.5419191294670459,0.5318010790323481,0.7868795092440857,0.6904628779104597,0.003737812927325207
AAPL_2024-02-01,6,65032,0.1016730225119941,0.42088639000212424,0.04083800399894244,100.0,0.6175892316999395,0.5742589231699939,0.4382940108892922,0.4078912346215929,0.7322911859531182,0.7356147742649772,0.016405537080822204
AAPL_2024-02-01,7,66026,0.09023717929300579,0.5195354389979912,0.02057542149486835,100.0,0.5812353138637126,0.5278616985565626,0.7093823430681436,0.36478890330312075,0.7012772967205354,0.752400569472632,0.020261754353102436
AAPL_2024-02-01,8,89933,0.08610854747423081,0.48202397549903253,0.05175622199749341,40.0,0.5369963842975206,0.5179493801652892,0.71067923553719,0.3711044642003239,0.67435379266191,0.7808924421513793,0.022641645136048855
AAPL_2024-02-01,9,86502,0.11486439619893182,0.6220947954971052,0.055029373503202805,14.0,0.6233393719806763,0.6731582125603864,0.7636372785829307,0.5431669225199952,0.8100371296211357,0.8126401701694759,0.016021510841413063
AAPL_2024-04-01,0,24727,0.32599991911675497,0.0006095939970691688,0.004513731000770349,100.0,0.43189430591738,0.44274903858082126,0.10550800148864906,0.2933817091665564,0.6305371317576726,0.5788005014761192,0.044352765899583306
AAPL_2024-04-01,1,1260,0.36507936507936506,0.11557508449914167,0.040413415499642724,100.0,0.716304347826087,0.7489130434782608,0.7641304347826087,0.4162976549704479,1.1253712578464508,0.6325396825396825,-0.042485512723607954
AAPL_2024-04-01,2,2933,0.2863961813842482,0.18603893399631488,0.03555987000436289,100.0,0.5541666666666667,0.6178571428571429,0.7857142857142857,0.31385416666666666,0.9264188257722522,0.6063757245141493,-0.0032882343703084134
AAPL_2024-04-01,3,3890,0.25938303341902313,0.31031247999635525,0.08492697250039782,100.0,0.5500495540138751,0.31020812685827553,-0.46333002973240833,-0.026247546381308176,0.6113800841155049,0.6039845758354756,0.07620062648277504
AAPL_2024-04-01,4,4221,0.2613124851930822,0.3603147989997524,0.10024540700396756,100.0,0.513599274705349,0.6504986400725294,-0.034904805077062555,0.3140114783034015,1.0550847223420547,0.5806680881307748,-0.01824759507030453
AAPL_2024-04-01,5,24763,0.18547833461212293,0.17142798900022171,0.023924868000904098,100.0,0.5069671238841715,0.4718049205312432,-0.22969736555628129,0.3094802937582021,0.6391874246381695,0.5734967491822477,0.018861631021849685
AAPL_2024-04-01,6,29850,0.14633165829145728,0.3827348039994831,0.053719078001449816,100.0,0.4779075091575092,0.4362408424908425,-0.0744047619047619,0.31641127442104083,0.5699707523187819,0.5630988274706867,0.01856333930961339
AAPL_2024-04-01,7,52324,0.10436893203883495,0.6570187489996897,0.06121700150106335,100.0,0.49862662516022704,0.44121955685771835,0.0672038088262223,0.3559083182502245,0.5372344179330328,0.5582810947175293,0.012217587689252112
