session,latency_s,latency,quotes,fills,fill_rate,crossed_share,alone_share,median_ahead,gross_ticks,adverse_ticks,net_ticks,net_total_ticks
AAPL_2024-08-01,0.0001,100us,228929,14364,0.0627443443163601,0.0074783011326655865,0.08417063864059468,125.0,0.3967557783347257,1.1461640211640212,-0.7494082428292954,-10764.5
AAPL_2024-08-01,0.001,1ms,228332,16775,0.07346758229245134,0.02350086715834837,0.14364970443924185,120.0,0.06378539493293592,1.0909090909090908,-1.027123695976155,-17230.0
AAPL_2024-08-01,0.01,10ms,226734,18960,0.08362221810579798,0.04095548087185866,0.19640097862477465,120.0,-0.43900316455696203,1.2481276371308017,-1.6871308016877637,-31988.0
AAPL_2024-08-01,0.1,100ms,222348,24582,0.11055642506341411,0.07729325201935705,0.2469268188066016,120.0,-1.2593360995850622,1.0647018143356928,-2.324037913920755,-57129.5
AAPL_2024-10-01,0.0,0,402805,4796,0.011906505629274712,5.461699829942528e-05,0.0029147208298264823,85.0,0.7360300250208507,0.5871559633027523,0.14887406171809842,714.0
AAPL_2024-10-01,1e-05,10us,402805,15704,0.03898660642246248,0.00017378135822544407,0.005604181409611779,87.0,0.3442116658176261,0.5633596535914417,-0.21914798777381558,-3441.5
AAPL_2024-10-01,0.0001,100us,402785,15474,0.038417518030711174,0.006921806919324205,0.08311812338592539,85.0,0.16350006462453148,0.359603205376761,-0.19610314075222954,-3034.5
AAPL_2024-10-01,0.001,1ms,402211,19429,0.04830549139630692,0.02215006551287757,0.13884495883570386,85.0,-0.1736064645632817,0.20304699161047918,-0.3766534561737609,-7318.0
AAPL_2024-10-01,0.01,10ms,400140,24925,0.06229069825561054,0.040753236367271455,0.20514911432836677,85.0,-0.6125376128385156,-0.14194583751253761,-0.47059177532597796,-11729.5
AAPL_2024-10-01,0.1,100ms,393510,40987,0.10415745470254885,0.08764707377194988,0.24015653724026517,95.0,-1.2227901529753336,-0.040952009173640426,-1.1818381438016932,-48440.0
